Orthogroup	Fungus_transcripts.fasta.transdecoder	Krisp1_GeneModels_FilteredModels3_aa	Leucosporidium_creatinivorum_proteins_aa	Mereb1_GeneCatalog_proteins_20150713.aa	Micld1_GeneCatalog_proteins_20161101.aa	Mortiella_alpina_proteins_aa	Pseudohyphozyma_borogiensis_proteins_aa	Rhodoturola_mucilaginosa_protein_aa	Rhodoturola_turoloides_protein_aa	Rhoglu1_GeneCatalog_proteins_20160519.aa	Saccharomyces_cerevisae_protein_aa	Sclerotinia_borealis_proteins_aa	Slopil1_GeneCatalog_proteins_20180422.aa	Total
OG0000182	2	5	5	4	0	2	4	0	0	0	0	6	9	37
OG0000183	2	2	4	4	3	13	2	1	2	2	0	1	1	37
OG0000184	6	5	7	5	2	0	2	1	3	3	0	1	2	37
OG0000185	2	4	3	3	4	6	2	4	1	1	2	2	3	37
OG0000186	0	1	1	0	0	1	0	0	12	9	0	12	1	37
OG0000187	0	0	0	0	0	0	0	0	0	0	0	37	0	37
OG0000188	4	6	4	2	0	0	7	0	0	0	0	4	9	36
OG0000189	36	0	0	0	0	0	0	0	0	0	0	0	0	36
OG0000190	5	5	3	6	2	1	2	2	2	2	0	0	6	36
OG0000191	29	2	0	0	0	0	1	2	0	0	0	0	2	36
OG0000192	4	6	2	3	1	2	3	1	3	3	1	5	2	36
OG0000193	5	4	3	4	3	0	2	2	3	3	0	3	4	36
OG0000194	3	2	3	2	5	2	1	0	6	4	1	2	5	36
OG0000195	3	4	3	3	0	1	2	2	1	1	5	2	9	36
OG0000196	3	6	2	3	1	3	5	1	1	1	1	3	6	36
OG0000197	4	3	3	5	4	2	4	2	2	2	0	1	3	35
OG0000198	2	3	2	3	2	1	2	3	3	3	6	2	3	35
OG0000199	4	14	8	0	2	1	2	0	0	0	2	2	0	35
OG0000200	5	7	7	3	0	0	4	1	2	2	0	1	3	35
OG0000201	9	9	0	0	0	1	0	0	0	0	1	3	12	35
OG0000202	3	2	7	4	7	0	4	2	2	2	0	1	1	35
OG0000203	4	4	3	1	4	3	2	2	2	2	0	3	5	35
OG0000204	3	3	3	3	3	5	2	2	2	2	1	1	5	35
OG0000205	4	4	5	8	1	0	1	0	4	2	0	0	6	35
OG0000206	1	2	7	5	2	0	6	2	3	2	0	1	4	35
OG0000207	2	2	5	4	2	3	3	2	4	4	1	1	2	35
OG0000208	2	4	5	4	1	0	5	1	2	2	2	1	6	35
OG0000209	3	4	3	4	2	5	2	2	2	2	2	1	2	34
OG0000210	10	5	0	1	0	0	0	0	0	0	0	0	18	34
OG0000211	4	3	3	3	2	3	3	2	2	2	0	2	5	34
OG0000212	3	8	3	3	4	0	5	1	1	1	0	1	4	34
OG0000213	3	4	2	5	1	1	4	2	2	2	0	1	7	34
OG0000214	3	3	3	3	3	3	3	2	3	3	1	1	3	34
OG0000215	7	3	3	4	2	1	3	3	3	2	0	0	3	34
OG0000216	3	11	1	2	1	1	4	1	1	1	0	1	7	34
OG0000217	3	5	3	7	1	0	5	2	1	1	0	2	4	34
OG0000218	1	3	4	3	1	0	6	3	3	3	0	1	6	34
OG0000219	4	4	2	2	2	1	3	1	1	1	4	4	4	33
OG0000220	4	7	2	3	3	1	3	1	2	2	1	0	4	33
OG0000221	5	5	2	5	2	1	4	1	1	1	0	1	5	33
OG0000222	9	5	2	5	1	0	2	0	1	1	0	2	5	33
OG0000223	24	1	2	1	1	0	1	0	0	0	0	1	2	33
OG0000224	2	5	3	3	2	2	3	2	3	2	3	1	2	33
OG0000225	2	2	2	2	4	5	2	2	2	2	4	2	2	33
OG0000226	3	3	4	4	3	1	4	2	2	2	1	1	3	33
OG0000227	3	4	4	3	1	1	3	2	3	3	3	1	2	33
OG0000228	1	1	0	9	2	0	8	0	0	0	0	0	12	33
OG0000229	2	2	2	3	1	12	1	2	2	2	0	1	3	33
OG0000230	5	7	2	2	4	0	1	2	3	3	1	1	2	33
OG0000231	4	4	2	4	1	3	3	1	1	1	2	2	5	33
OG0000232	1	1	2	1	1	1	2	1	1	1	0	18	3	33
OG0000233	1	2	3	3	3	2	2	3	3	5	2	1	3	33
OG0000234	0	0	0	1	0	0	0	0	0	0	2	30	0	33
OG0000235	0	0	0	0	0	33	0	0	0	0	0	0	0	33
OG0000236	0	0	0	0	0	0	0	0	0	0	33	0	0	33
OG0000237	0	0	0	0	0	0	0	0	0	0	33	0	0	33
OG0000238	18	7	1	2	0	0	1	0	1	1	0	0	1	32
OG0000239	3	3	2	3	3	2	3	2	2	2	2	2	3	32
OG0000240	28	0	0	1	0	0	1	0	0	0	0	0	2	32
OG0000241	2	3	0	1	0	0	0	0	0	0	0	0	26	32
OG0000242	2	3	4	5	1	0	8	1	2	2	0	0	4	32
OG0000243	11	2	3	4	4	1	2	0	2	2	0	0	1	32
OG0000244	3	7	4	6	2	0	2	0	2	1	0	0	5	32
OG0000245	4	3	4	3	3	1	2	1	2	2	1	3	3	32
OG0000246	4	3	3	6	1	0	4	2	2	2	0	3	2	32
OG0000247	4	2	4	3	1	0	2	2	2	3	0	7	2	32
OG0000248	6	5	2	7	1	0	3	2	2	2	0	0	2	32
OG0000249	2	6	2	3	1	1	2	2	2	2	2	4	3	32
OG0000250	3	3	0	2	0	0	2	1	1	1	16	2	1	32
OG0000251	1	3	4	8	2	0	8	1	0	1	0	0	4	32
OG0000252	3	4	3	2	2	4	3	2	2	2	0	0	5	32
OG0000253	3	3	1	2	1	1	2	1	1	1	2	9	5	32
OG0000254	2	2	3	4	2	3	3	2	2	3	2	2	2	32
OG0000255	2	3	3	4	2	1	3	1	1	1	0	1	10	32
OG0000256	0	7	4	8	1	0	2	1	1	1	0	0	7	32
OG0000257	0	1	3	0	0	0	4	1	0	0	0	9	14	32
OG0000258	0	0	1	0	0	0	0	0	0	0	0	0	31	32
OG0000259	0	0	0	0	0	0	0	0	0	0	32	0	0	32
OG0000260	7	3	2	3	3	1	1	2	2	3	0	1	3	31
OG0000261	9	6	4	3	2	0	1	1	2	2	0	0	1	31
OG0000262	4	5	4	6	2	0	3	0	2	2	0	0	3	31
OG0000263	3	6	4	8	2	0	1	1	1	1	1	1	2	31
OG0000264	3	6	5	3	2	0	3	3	2	2	0	0	2	31
OG0000265	4	4	3	4	1	0	4	1	2	2	0	1	5	31
OG0000266	2	2	2	2	2	5	4	2	2	2	2	2	2	31
OG0000267	2	2	6	2	3	6	0	1	1	1	0	2	5	31
OG0000268	2	2	4	2	3	2	2	2	3	2	3	2	2	31
OG0000269	1	6	7	5	1	0	4	1	1	1	0	0	4	31
OG0000270	5	2	2	3	4	2	0	5	1	1	1	1	4	31
OG0000271	4	7	2	4	1	0	4	1	1	1	0	2	4	31
OG0000272	1	4	4	3	2	0	4	0	2	2	3	3	3	31
OG0000273	3	3	3	2	4	1	3	2	2	2	2	1	3	31
OG0000274	2	2	2	2	3	6	2	2	2	2	2	2	2	31
OG0000275	1	2	2	3	2	8	2	3	3	2	0	1	2	31
OG0000276	2	2	2	2	2	6	1	2	3	2	3	2	2	31
OG0000277	2	1	5	2	2	3	3	2	2	2	0	0	7	31
OG0000278	1	2	0	2	2	15	1	1	1	1	0	3	2	31
OG0000279	2	4	4	3	2	0	3	5	3	2	0	0	3	31
OG0000280	0	1	2	1	1	0	20	1	1	1	1	1	1	31
OG0000281	0	0	31	0	0	0	0	0	0	0	0	0	0	31
OG0000282	0	0	0	0	0	31	0	0	0	0	0	0	0	31
OG0000283	2	5	2	3	0	4	3	0	1	0	0	2	8	30
OG0000284	3	4	4	3	1	0	2	2	2	2	0	4	3	30
OG0000285	3	8	1	1	0	0	3	1	0	0	1	2	10	30
OG0000286	2	2	0	5	1	8	2	2	1	1	2	2	2	30
OG0000287	20	8	0	0	0	0	2	0	0	0	0	0	0	30
OG0000288	1	10	2	1	1	3	1	1	1	1	0	1	7	30
OG0000289	7	3	1	1	1	4	2	0	1	1	0	9	0	30
OG0000290	4	5	5	1	1	4	1	2	2	2	0	1	2	30
OG0000291	2	4	3	2	2	0	2	5	4	0	1	1	4	30
OG0000292	4	7	3	3	2	1	2	1	2	1	1	1	2	30
OG0000293	2	3	2	2	4	4	2	2	2	2	1	2	2	30
OG0000294	2	2	2	2	2	4	2	2	2	2	2	4	2	30
OG0000295	1	2	2	2	3	4	2	1	3	3	0	5	2	30
OG0000296	2	7	3	2	2	0	2	1	3	3	0	0	5	30
OG0000297	4	2	3	4	1	2	5	4	1	1	0	1	2	30
OG0000298	0	16	3	4	3	0	1	0	0	0	0	0	3	30
OG0000299	0	0	0	0	0	30	0	0	0	0	0	0	0	30
OG0000300	0	0	0	0	0	1	0	0	0	0	0	29	0	30
OG0000301	3	4	4	4	1	0	4	2	1	1	0	1	4	29
OG0000302	3	5	3	3	5	1	2	1	1	1	0	1	3	29
OG0000303	15	9	1	4	0	0	0	0	0	0	0	0	0	29
